	Air Quality Network	Air Quality Network Name	Air Quality Station EoI Code	Air Quality Station Name	Air Pollutant	Air Pollutant Description	Year	Air Pollution Level	Unit Of Air Pollution Level	Data Coverage	Verification	Air Quality Station Type	Air Quality Station Area	Longitude	Latitude	Altitude	Source Of Data Flow	Calculation Time
6262	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	CO	Carbon monoxide (air)	2020	0.98	mg/m3	97.72	1.0	Background	Urban	21.8966	42.5511	473.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
6265	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM10	Particulate matter < 10 µm (aerosol)	2021	154.726	ug/m3	82.74	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:34:18
6266	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	19.773	ug/m3	82.74	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:35:47
6267	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	273.637	ug/m3	83.18	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:14:43
6268	NET-RS002A	Serbian national AQ network	RS0050A	Smederevo-Centar	PM2.5	Particulate matter < 2.5 µm (aerosol)	2021	0.0	ug/m3	83.18	3.0	Traffic	Urban	20.9267	44.6641		E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6289	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2021	0.287	ug/m3	93.13	3.0	Background	Urban	20.4591	44.8211	103.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6290	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	NO2	Nitrogen dioxide (air)	2019	66.842	ug/m3	95.89	1.0	Background	Urban	20.4591	44.8211	103.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:34:53
6295	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	CO	Carbon monoxide (air)	2020	0.0	mg/m3	98.84	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
6298	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	SO2	Sulphur dioxide (air)	2019	9.65	ug/m3	100.0	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:34
6299	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	SO2	Sulphur dioxide (air)	2021	18.583	ug/m3	93.97	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 20:37:34
6309	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2019	4.558	ug/m3	98.9	1.0	Background	Urban	21.919	43.3226	198.0	Mixed E1a/validated and E2a/UTD data AQ e-Reporting	31/05/2022 20:13:56
6314	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2021	-0.505	ug/m3	94.12	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6317	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2019	0.0	count	97.2	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 20:03:47
6321	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	O3	Ozone (air)	2021	4565.714	ug/m3	93.42	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 21:31:24
6322	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	NO2	Nitrogen dioxide (air)	2021	20.193	ug/m3	94.12	3.0	Background	Urban	21.919	43.3226	198.0	E2a/UTD AQ e-Reporting	31/05/2022 19:24:45
6323	NET-RS002A	Serbian national AQ network	RS0033A	Nis-Osnovna skola Sveti Sava	NO2	Nitrogen dioxide (air)	2020	55.491	ug/m3	100.0	1.0	Background	Urban	21.919	43.3226	198.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:14
6326	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	CO	Carbon monoxide (air)	2020	0.273	mg/m3	97.89	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6328	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	CO	Carbon monoxide (air)	2021	0.555	mg/m3	91.78	3.0	Background	Urban	19.8357	45.2386	81.0	E2a/UTD AQ e-Reporting	31/05/2022 20:49:42
6336	NET-RS002A	Serbian national AQ network	RS0038A	Kostolac	SO2	Sulphur dioxide (air)	2019	10.0	count	98.14	1.0	Industrial	Suburban	21.1734	44.7175	75.0	E1a/validated data AQ e-Reporting	31/05/2022 20:10:09
6337	NET-RS002A	Serbian national AQ network	RS0031A	Novi Sad-Liman	NO	Nitrogen monoxide (air)	2019	232.5	ug/m3	97.01	1.0	Background	Urban	19.8357	45.2386	81.0	E1a/validated data AQ e-Reporting	31/05/2022 20:14:43
6340	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	PM10	Particulate matter < 10 µm (aerosol)	2019	0.11	ug/m3	99.79	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
6341	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	PM10	Particulate matter < 10 µm (aerosol)	2020	142.008	ug/m3	99.45	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 20:34:18
6343	NET-RS002A	Serbian national AQ network	RS0032A	Belgrade-Stari grad	O3	Ozone (air)	2019	9027.2	ug/m3	98.73	1.0	Background	Urban	20.4591	44.8211	103.0	E1a/validated data AQ e-Reporting	31/05/2022 21:34:18
